,TV Broadcast,TV Cable,TV Streaming,Paid Search,Social,Display
TV Broadcast,0.0,-0.047726985,-0.07571254,-0.03517657,-1.0530141e-07,-0.036087316
TV Cable,-0.04980344,0.0,-0.0745935,-0.032497756,-2.0116351e-08,-0.033928275
TV Streaming,-0.04905346,-0.04243967,0.0,-0.029097486,1.08697755e-07,-0.0303543
Paid Search,-0.049465258,-0.045061033,-0.07458555,0.0,-2.9436727e-08,-0.03380084
Social,-0.05177754,-0.04866177,-0.07780694,-0.036063023,0.0,-0.037332375
Display,-0.04930398,-0.04428595,-0.07410253,-0.03124999,1.162346e-07,0.0
