,TV Broadcast,TV Cable,TV Streaming,Paid Search,Social,Display
TV Broadcast,0.0,0.0011270621717045515,-0.0020866008130582623,-0.0002446268267614904,0.0015046562040501588,-0.0004002874875820202
TV Cable,0.0011270621717045515,0.0,0.0010665181189263202,0.0003990181006388039,-0.0019240055786686099,-0.0001777654901057857
TV Streaming,-0.0020866008130582623,0.0010665181189263202,0.0,-0.00024206853584847934,-0.00020316913658207278,-0.0007026652112286923
Paid Search,-0.0002446268267614904,0.0003990181006388039,-0.00024206853584847934,0.0,5.520673774202697e-05,-0.00020300616052074114
Social,0.0015046562040501588,-0.0019240055786686099,-0.00020316913658207278,5.520673774202697e-05,0.0,-0.0008727376508018506
Display,-0.0004002874875820202,-0.0001777654901057857,-0.0007026652112286923,-0.00020300616052074114,-0.0008727376508018506,0.0
