,Start,TV,Direct,Organic_Search,Paid_Search,Social,Conversion,Null
Start,0.0,0.1507,0.24884,0.3005,0.20214,0.09782,0.0,0.0
TV,0.0,0.05292652552926526,0.34184308841843086,0.2483395599833956,0.14975093399750933,0.10471149854711499,0.053134080531340805,0.04929431299294313
Direct,0.0,0.01914507344446278,0.09985146063706882,0.10121307146393795,0.05136986301369863,0.05103977554051824,0.15274797821422678,0.5246327776860868
Organic_Search,0.0,0.02120782785796511,0.14801204285840786,0.052554679890197464,0.07876560701319402,0.050030992650314354,0.11945452935446738,0.5299743203754538
Paid_Search,0.0,0.0234094770624882,0.1003712793405072,0.05015417531936316,0.04889560128374552,0.031086778679755837,0.19281354225662325,0.5532691460575169
Social,0.0,0.03033633765662783,0.12552209276764123,0.08034732908331502,0.05935370411079358,0.037041107935810065,0.07166410200043966,0.5957353264453726
Conversion,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
