budget,optimized_revenue,current_mix_revenue,lift_pct,optimal_tv_broadcast_spend,current_tv_broadcast_spend,optimal_tv_cable_spend,current_tv_cable_spend,optimal_tv_streaming_spend,current_tv_streaming_spend,optimal_paid_search_spend,current_paid_search_spend,optimal_social_spend,current_social_spend,optimal_display_spend,current_display_spend
5000000,40148623.61,31298732.23,28.28,100000.0,1468577.18,100000.0,953025.43,100000.0,260806.52,1849487.74,1040959.91,2750512.26,778971.08,100000.0,497659.88
8000000,43856999.3,36034559.62,21.71,160000.0,2349723.49,160000.0,1524840.69,160000.0,417290.43,2824811.56,1665535.85,4301994.09,1246353.72,393194.35,796255.81
10000000,45540518.36,38049763.03,19.69,200000.0,2937154.36,200000.0,1906050.86,200000.0,521613.04,2905017.2,2081919.81,5459506.71,1557942.15,1035476.09,995319.77
12000000,44858529.54,39652079.06,13.13,2334401.26,3524585.24,270420.72,2287261.03,325811.53,625935.65,2022587.12,2498303.78,4368972.64,1869530.58,2677806.72,1194383.72
15000000,47136424.34,41575186.47,13.38,3982601.67,4405731.55,300000.0,2859076.29,300000.0,782419.56,3175112.74,3122879.72,5641814.99,2336913.23,1600470.61,1492979.65
18000000,48153449.75,43103796.2,11.72,5507700.42,5286877.86,360032.18,3430891.55,360000.0,938903.48,2460623.45,3747455.67,7450053.75,2804295.88,1861590.2,1791575.58
20000000,48796499.54,43962657.87,11.0,5360522.92,5874308.73,783259.37,3812101.72,400000.0,1043226.08,4140625.41,4163839.63,7447188.17,3115884.31,1868404.13,1990639.53
25000000,50409112.81,45708553.16,10.28,9400863.22,7342885.91,1695304.02,4765127.15,500000.0,1304032.61,3218555.23,5204799.53,8041916.14,3894855.39,2143361.38,2488299.42
30000000,51996179.52,47051948.29,10.51,11563565.45,8811463.09,1304472.94,5718152.58,600000.0,1564839.13,5520437.67,6245759.44,8649455.75,4673826.46,2362068.19,2985959.3
