model,TV Broadcast,TV Cable,TV Streaming,Paid Search,Social,Display
Bayesian MMM,0.21207196994445793,0.08440920789959219,0.12764216509660528,0.32037275092415185,0.1390040197908947,0.11649988634429823
Shapley Values,0.22929377427219488,0.2303428849025616,0.18965334083794272,0.02053993759155386,0.13360557370350887,0.19656448869223808
DeepCausalMMM,0.08914738180643463,0.017070797995468234,0.8937818201980972,0.0,0.0,0.0
Double ML,0.07866224873540874,0.10378550052467725,0.5026066704722536,0.045894738103526525,0.20705559943671234,0.06199524272742152
TFT Attention,0.012133136160219382,0.04699753833572348,0.18898752278974026,0.35762773966526235,0.38141019453485275,0.012843868514201785
Geo-Lift,0.000907303564262728,0.0005443821385576368,0.00036292142570509123,0.3493648875050161,0.3493648875050161,0.29945561786144237
Conformal,0.20626047879353632,0.08308037542661988,0.12572597146148465,0.3317501829574602,0.1414254021083093,0.11175758925258965
