channel,spend_col,ate,ci_lower,ci_upper,p_value,std_err,mean_spend,marginal_roas
TV Broadcast,tv_broadcast_spend,0.962216124899424,0.41104074995829176,1.513391499840556,0.0006225080022839191,0.2812170934204573,80514.41249999999,0.09852558524983372
TV Cable,tv_cable_spend,1.2695299681999759,0.5788929909789584,1.9601669454209931,0.0003147970222861205,0.3523722796279287,52249.40403846152,0.0843581530757983
TV Streaming,tv_streaming_spend,6.148009376608634,2.8892630233799412,9.406755729837325,0.00021755901464545426,1.6626562421214204,14298.658653846154,0.11179762668354702
Paid Search,paid_search_spend,-0.561395812618956,-5.703592860056397,4.580801234818484,0.8305644356325895,2.623618131760805,57070.391923076924,-0.0407457943015716
Social,social_spend,2.532755416119181,1.5356290333995903,3.5298817988387716,6.410693395265307e-07,0.5087472987181378,42706.91346153846,0.13756064456866612
Display,display_spend,0.7583411760834499,-0.8912732654978163,2.4079556176647157,0.36758226628421986,0.8416554868320102,27284.09076923077,0.026313395165093813
